approach	yondashmoq
reliable	ishonchli
sociable	dilkash
trust	ishonmoq;tayanmoq
amaze	hayron qoldirmoq
amuse	ko'nglini ochmoq
annoy	jahlini chiqarmoq
bored	zerikarli
confuse	chalkashtirmoq;qiyinlashtirmoq
conviction	aybdor deb topish
desire	orzu qilmoq,istamoq
depress	ranjitmoq
employ	ishga yollamoq
expect	kutmoq
felony	og'ir jinoyat
license	ruxsat bermoq
locate	joyini aniqlamoq;joylashtirmoq
previous	oldingi
satisfy	qoniqtirmoq
specific	alohida;maxsus
upgrade	malaka oshirmoq;rivojlantirmoq
average	o'rtacha miqdorda
bodily	moddiy;haqiqiy
calculate	hisoblamoq
condition	sharoit
differentiate	farqni ko'r[sat]moq
existential	hayotiy
jealous	qizg'anchiq,rashkchi
intelligence	aql,aqliy qobiliyat
interpersonal	insonlararo
intra-personal	ichki[shahsda]
linguistic	lingvistik,tilshunoslikka oid
logical	mantiqiy
mathematical	matematik;hisob kitobni sevadigan
musical	musiqiy;musiqasevar
naturalistic	tabiatni sevuvchi
pill	hapdori
research	tadqiqot
spatial	koinotga doir
uniform	forma,rasmiy kiyim
appear	ko'rinmoq;paydo bo'lmoq
discover	bilib olmoq,kashf etmoq
exhibit	ko'rgazmaga qo'ymoq
especially	ayniqsa
fiction	badiiy adabiyot;uydirma
inspire	ruhlantirmoq
mathematician	matemarik
network	tarmoq
original	asl;o'ziga xos
pleasure	zavq
revision	takrorlash,qayta ko'rib chiqish
simulate	mug'ombirlik qilmoq
subtitle	qo'shimcha sarlavha
through	vositasida;orqali
underground	yerosti
underground	yashirin
version	tahminiy fikr
auditory	eshitish bilan bog'liq
instruction	qo'llanma;ko'rsatma
jigsaw	yig'iladigan rasmli boshqotirma
hug	quchoqlamoq
kinaesthetic	tegib,harakatlanish bilan bog'liq
compile	to'plamoq[dalil]
mark off	chegara qo'ymoq,belgilamoq
maze	chalkash narsa
rewrite	qayta yozmoq,yozib olmoq
role-play	rol o'ynash
memorise	eslab qolmoq
aid	yordam
spell	harflab aytmoq
survey	ko'rik
skillful	mahoratli
prefer	afzal ko'rmoq
puzzle	jumboq
champion	chempion,g'olib
chorus	xor
commit	bajarmoq
depend [on]	…ga bog'liq bo'lmoq
different	turli,farqli
distinctive	o'ziga xos,ajralib turadigan
dream	tush;orzu
figure out	aniqlamoq,topmoq
focus on	diqqatini biror narsaga qaratmoq
frustration	halokat
fun	zavq
healthcare	sog'liqni saqlash
limitation	chegaralash
religion	din
rotate	aylan(tir)moq
scream	baqirmoq
slacker	yalqov
together	birga
virtual	virtual,xayoliy
voice	ovoz
achieve	erishmoq
amicable	do'stona
approximately	taxminan,chamasi
award	mukofot berish
contest	musobaqa; tortishuv
double	juft, qo'shaloq
federation	uyushma,federatsiya
giant	ulkan
participant	ishtirokchi
quarter	chorak
result	natija
reporter	muxbir
represent	namoyish qilmoq;ifodalamoq
support	qo'llab quvvatlamoq
